Stock Name,Stock Code,Note,Listing Date,Lot Size,Market Cap(B),Offer Price,Listing Price,Over-subscription Rate(x),Lots for 1 Lot,1-Lot Success Rate,Last Price,Debut Day Chg%,Accumulated Chg%
MINIMAX-W,00100.HK,,2026/01/09,20,47.36-51.75,165.0,165.0,"1,836.2",200 lot,2.8%,803.5,+109.090%,+386.970%
RIBOLIFE-B,06938.HK,,2026/01/09,200,,57.97,57.97,100.1,100 lot,1.7%,59.6,+41.620%,+2.812%
JINXUN RESOURCE,03636.HK,Sink Below Listing Price,2026/01/09,200,,30.0,30.0,142.5,200 lot,7.0%,22.2,+26.000%,-26.000%
KNOWLEDGE ATLAS,02513.HK,,2026/01/08,100,,116.2,116.2,"1,158.5",200 lot,5.0%,921.0,+13.170%,+692.599%
EDGE MEDICAL-B,02675.HK,,2026/01/08,100,,43.24,43.24,"1,090.9",900 lot,0.5%,51.95,+30.900%,+20.143%
ILUVATAR COREX,09903.HK,,2026/01/08,100,,144.6,144.6,413.2,400 lot,7.0%,605.0,+8.440%,+318.396%
BIREN TECH,06082.HK,,2026/01/02,200,41.46-47.80,19.6,19.6,"2,346.5",250 lot,5.0%,55.75,+75.820%,+184.439%
INSILICO,03696.HK,,2025/12/30,500,,24.05,24.05,"1,426.4",4000 lot,1.0%,62.95,+24.660%,+161.746%
51WORLD,06651.HK,,2025/12/30,200,,30.5,30.5,255.0,100 lot,10.0%,49.86,+29.900%,+63.475%
ONEROBOTICS,06600.HK,,2025/12/30,100,14.20-18.25,73.8,73.8,253.5,400 lot,7.0%,106.6,+0.070%,+44.444%
XUNCE,03317.HK,,2025/12/30,100,15.49-17.75,48.0,48.0,6.2,8 lot,12.8%,236.6,+1.040%,+392.917%
FOREST CABIN,02657.HK,Sink Below Listing Price,2025/12/30,50,,77.77,77.77,"1,234.8",1400 lot,2.0%,59.1,+9.300%,-24.007%
USAS BUILDING,02671.HK,Sink Below Listing Price,2025/12/30,300,0.86-1.10,7.1,7.1,145.3,200 lot,0.8%,4.08,+7.610%,-42.535%
NUOBIKAN,02635.HK,Sink Below Listing Price,2025/12/23,50,3.03-4.01,80.0,80.0,187.7,400 lot,3.0%,19.94,+363.750%,-75.075%
QINGSONG HEALTH,02661.HK,,2025/12/23,200,,22.68,22.68,"1,420.5",1250 lot,6.0%,39.32,+158.820%,+73.369%
HANXBIO-B,03378.HK,Sink Below Listing Price,2025/12/23,100,3.81-4.36,32.0,32.0,"3,073.1",6000 lot,1.0%,31.5,-46.250%,-1.563%
